epoch,accuracy,loss,val_accuracy,val_loss
0,0.16825397312641144,2.0345499515533447,0.17407406866550446,1.7718415260314941
1,0.25555557012557983,1.6992989778518677,0.2777777910232544,1.7025820016860962
2,0.23571428656578064,1.6729931831359863,0.21851852536201477,1.6779568195343018
3,0.2928571403026581,1.6270095109939575,0.2481481432914734,1.712573528289795
4,0.3404761850833893,1.5221205949783325,0.3777777850627899,1.477745771408081
5,0.44285714626312256,1.3768571615219116,0.3444444537162781,1.4548755884170532
6,0.4611110985279083,1.334715723991394,0.43703705072402954,1.262574553489685
7,0.49761903285980225,1.2034261226654053,0.5185185074806213,1.212152123451233
8,0.5849206447601318,1.0666186809539795,0.5148147940635681,1.1270973682403564
9,0.6714285612106323,0.8747495412826538,0.5407407283782959,1.0981452465057373
10,0.6801587343215942,0.8208179473876953,0.6259258985519409,0.8973323106765747
11,0.7158730030059814,0.7176181077957153,0.614814817905426,1.0322304964065552
12,0.7690476179122925,0.6035990715026855,0.6703703999519348,0.9584712386131287
13,0.7952380776405334,0.512170672416687,0.6925926208496094,0.8406416773796082
14,0.8198412656784058,0.46883147954940796,0.7074074149131775,0.7982406616210938
