epoch,accuracy,loss,val_accuracy,val_loss
0,0.18174603581428528,1.7731350660324097,0.2629629671573639,1.7083619832992554
1,0.3650793731212616,1.5057889223098755,0.5925925970077515,1.2037442922592163
2,0.6761904954910278,0.9127945899963379,0.8333333134651184,0.6173475384712219
3,0.791269838809967,0.5753617286682129,0.7629629373550415,0.6220194697380066
4,0.8182539939880371,0.47272223234176636,0.8592592477798462,0.4551609754562378
5,0.89682537317276,0.29897546768188477,0.9185185432434082,0.27737200260162354
6,0.9111111164093018,0.25472724437713623,0.6925926208496094,0.7761766910552979
7,0.8801587224006653,0.3004128336906433,0.8518518805503845,0.4241163730621338
8,0.9246031641960144,0.2194911241531372,0.9296296238899231,0.25283002853393555
9,0.9166666865348816,0.2319665402173996,0.8740741014480591,0.37827175855636597
10,0.9373015761375427,0.18488867580890656,0.9222221970558167,0.23771274089813232
